"WorkID","Title","Author","Year","NumBorrowers","x","y"
144832737,"Prince Rupert, the Bucaneer","Hyne","1901",28,2.74422643836523,4.63348503327970
-2069223754,"American Prisoner, The","Phillpotts","1904",45,-13.2990125854308,21.4094176807517
19879,"Heavenly Twins, The","Grand","1893",9,52.2317769893314,-4.89508954505744
1737636206,"Lorna Doone","Blackmore","1869",1,51.6985896445317,-18.1760568639816
-895143400,"Barrier, The","Beach","1908",35,-50.0724557667878,23.52224071377
-1149235490,"Over the Border","Barr","1904",28,1.33841072008223,-33.8972916832818
1802725575,"In Spite of the Czar","Boothby","1905",42,-28.8567939702964,-2.76956547404707
-591597891,"Peg Woffington","Reade","1853",5,65.3891467899882,-9.93643007376407
95516444,"Queenie's Whim","Carey","1913",34,-25.7210682667579,-28.7287502641295
893880495,"Mam' Linda","Harben","1907",43,-38.5584572610338,26.6455643308678
1833549128,"Folle Farine","Ouida","1871",5,57.3179526945482,-21.2273480109743
9,"Purple Robe, The","Hocking","",45,32.4461116256788,-35.9720444370475
21115,"Lost Leader, A","Oppenheim","1906",51,-48.9309401880421,-0.0691095673639219
1216793776,"Wee Willie Winkie and Other Child Stories","Kipling","1888",6,51.3108084958235,-11.3092270518056
2083149980,"Woman against the World, A","Griffith","1903",38,-4.60703624190389,10.0096193869171
-584879606,"Fashionable Adventures of Joshua Craig, The","Phillips","1909",41,-40.4871428451084,45.302529916417
-98944742,"Other Mrs Jacobs, The","Praed","1903",34,7.89864422613303,15.9981961999934
20489,"Treasure of Heaven, The","Corelli","",30,-45.1013240531578,4.22580741990987
19914,"In the Golden Days","Lyall","",19,66.7349092862931,-16.8747368627846
5069,"Shadow of the Sword, The","Buchanan","",7,60.8555393317606,-3.68650741901505
-1694981415,"Upstart, The","Hyde","1906",41,-30.941279363715,45.9465150132784
1972822190,"Redemption of David Corson, The","Goss","1901",20,25.1118845509891,-50.407631452572
131459422,"Sirdar's Oath, The","Mitford","1904",31,5.46213073730903,-12.6855084500274
-324672961,"Lonely Church, The","Hume","1904",37,-19.3514492862487,-1.05850554877072
20399,"Spoilers, The","Beach","",42,-32.0301602662027,-12.6031829190591
1179045089,"Liz","Muddock","1903",35,-12.3008333910960,-14.1543251549358
87354475,"Heart of Rome, The; a Tale of the 'Lost Water'","Crawford","1903",26,23.5317819823536,-25.6555041524264
2947,"Nedra","McCutcheon","1906",46,-37.1670098217914,-14.7233274051542
20290,"Richard Rosny","Gray","",19,11.8207514571089,24.3927109322188
-1988766690,"Doctor Xavier","Pemberton","1903",40,-30.7805626148178,16.1552880966059
3579,"All Men are Liars","Hocking","1895",46,-17.9490610789716,-10.7286971919701
913,"Love Made Manifest","Boothby","",39,-16.0800491110054,-28.0224272004905
20477,"Torn Sails","Raine","1898",32,23.2104612232560,-30.5717919753505
-1612206014,"That Frenchman!","Gunter","1889",22,11.0280218324895,-9.61099941286378
452867825,"Wuthering Heights","Bronte","1847",2,25.5801940188097,-1.89696641976309
-1668047650,"Lovey Mary","Rice","1903",44,-26.9815004463473,-9.45010438630353
