"WorkID","Title","Year","Author","LibraryID","NumBorrowers","x","y"
5309,"East Lynne","1861","Wood",2,20,22.6206416849923,27.5795220663889
13974,"Old Wives for New","","Phillips",2,34,-46.4249715814368,-12.1380109061672
-767204611,"Lost Provinces, The","1898","Tracy",2,27,-40.2305470569119,-2.53358073658479
-1722241172,"Patriots, The","1906","Brady",2,49,-23.3868460505437,22.4096751573803
-313835688,"Town and Bush","1896","Gould",2,32,17.9989908946820,-51.3010184738892
20047,"Marriage of William Ashe, The","1905","Ward",2,30,8.58074489773198,5.33639131212628
291335611,"Unseen Jury, The: A Novel","1907","Root",2,39,-45.2097684682655,27.0797069198967
20068,"Me and Myn","1907","Crockett",2,25,-12.1782082623940,20.6931893756625
-957774892,"Virgin in Judgment, The","1908","Phillpotts",2,32,-54.3492617489964,-4.60147489754446
1896709993,"Calling of Dan Matthews, The","1909","Wright",2,21,-64.4694214421951,3.18233964112235
-1737497338,"City of Mystery, The","1904","Gunter",2,37,3.43345367373570,-16.8123058999875
-152132081,"Doctor Burton","1907","Gunter",2,38,-42.9222001360579,28.1031994042337
1320844547,"Gayle Langford","1907","Kramer",2,31,-29.9669616409287,25.4112675164715
710060995,"Bronze Bell, The","1909","Vance",2,25,-51.464405085447,-3.43844872689566
1864577657,"Magpie Jacket, The","1896","Gould",2,27,17.2694639892554,-56.7848748868711
-430362392,"Wooed and Married","1875","Carey",2,43,48.1564670142716,19.6823310811229
913,"Love Made Manifest","","Boothby",2,39,40.9417601214811,-30.6070417611425
20547,"While the Billy Boils","","Lawson",2,24,39.7758519936421,-40.6103753160503
-82419722,"Miser's Will, The","1903","Hume",2,32,15.5012725321924,-3.76167329704784
1466,"Profligate, The","","Hornblow",2,27,-52.7157450903896,19.7449111053688
20042,"Man Who Rose Again, The","","Hocking",2,34,-4.79781498556411,27.2673076732941
20111,"Mr Opp","","Rice",2,31,-52.890110929267,3.74996071932048
1497937554,"Caleb Carthew","1884","Hocking",2,48,-29.0712403215074,36.9868437161525
-905772666,"Stella Fregelius: A Tale of Three Destinies","1904","Haggard",2,40,21.6049536668724,-31.5303750525581
-328884807,"Special Messenger","1909","Chambers",2,25,-55.4716811969333,25.824811513903
2000715151,"Profit and Loss","1906","Oxenham",2,28,-17.1100619001741,-5.10126413582258
1930877101,"White Chief, The","1855","Reid",2,23,-7.00414640344697,-49.009186362583
1660006030,"Southerners, The","1905","Brady",2,66,36.458048946736,-4.60661026803478
1968693257,"Vision of Beauty, A","1902","Hatton",2,29,25.0372921221614,10.0128131346176
894,"Childerbridge Mystery, The","","Boothby",2,49,47.3394508230942,-23.4837650072026
20482,"Trail of the Lonesome Pine, The","1908","Fox",2,38,-59.5903446239184,18.5492997203666
1656718151,"By the Gods Beloved","1905","Orczy",2,45,-2.70180602013167,18.9689020105346
-417458560,"Lost Regiment, The","1901","Glanville",2,29,0.817261973107102,-34.1311631258602
-1080300340,"Marie-ÃƒË†ve","1903","Bower",2,29,48.3992657714002,1.33932868669516
17117,"Watchers of the Plains, The","","Cullum",2,28,-41.3113431882291,26.1543815932434
296363229,"As a Man Lives","1898","Oppenheim",2,42,29.647175207744,2.45164515708542
-1410621235,"Hungry Heart, The","1909","Phillips",2,22,-64.9132209106764,-0.57983018728785
1372656065,"Anglo-Americans","1903","Cleeve",2,30,21.1433456574071,-23.8229619977372
-1274869514,"Father Anthony","1898","Buchanan",2,25,39.5813836949894,28.7798321725692
1608444099,"Cumberland Vendetta, A","1896","Fox",2,29,17.286699052414,-4.68033325343414
760502761,"Castle Omeragh","1903","Moore",2,22,52.7047847906207,-4.04512600692229
990484280,"From Post to Finish","1884","Smart",2,25,22.5325462442482,-39.7371376236354
-105826676,"Sin of Jasper Standish, The","1901","Rita",2,27,-55.8787487795368,-14.3037534312297
20060,"Mayfair 2835","1907","Richardson",2,36,-18.7540390092914,21.1166127193804
712,"Quicksands","","Steuart",2,25,-5.18575658016361,3.27452402905424
20595,"Younger Set, The","1907","Chambers",2,26,-54.9827593068563,17.1196545379851
-683873487,"Queer Affair, A","1903","Boothby",2,54,36.6108093810288,-23.2119488257923
20470,"Throwback, The: A Romance of the South-West","1906","Lewis",2,29,-13.3897869747362,9.73934903762335
19892,"Hounds of the Baskervilles","","Doyle",2,27,2.86533467500907,-33.3599247692917
3704,"By Bernon Banks","","Raine",2,21,13.2365811961879,32.0898535389041
2062799892,"Never-Never Land, The","1904","Barrett",2,29,58.2410015635985,-9.61529284892064
-2080633227,"Pitfall, The","1908","Magnay",2,32,-40.0451424195776,4.85164740808728
1248626409,"French Master, The","1903","Barrett",2,26,-28.5575700641212,-12.7178673684965
975064961,"Way of the Spirit, The","1906","Haggard",2,35,5.60649371619376,3.31099937704142
3622,"Barlasch of the Guard","1903","Merriman",2,24,6.14301842973475,20.674966342678
20179,"Pagan's Cup, The","","Hume",2,26,14.0946904909551,-52.6854957171513
-507154204,"Justin Wingate, Ranchman","1905","Whitson",2,26,-8.95980380099831,-13.1755197165282
-624410727,"Pasha of Many Tales, The","1835","Marryat",2,23,23.8024275589989,-31.7096363239219
20836,"Holy Orders","","Corelli",2,29,-56.1715410301377,-8.1313713505002
-875160437,"Rising Fortunes","1907","Oxenham",2,22,-21.6750207524023,16.6555056656848
3819,"Crisis, The","1901","Churchill",2,28,25.2796680763931,14.8781779232818
-1825227984,"Life's Web","1902","Gould",2,31,15.1516644774056,-55.6283188393936
-1327459328,"Gun Runner, The","","Stringer",2,22,-56.7790942900034,12.2777728578024
455146186,"Settler of Silver Creek, The","","Whitaker",2,39,-29.4415699329528,26.6604504035484
-1713438834,"Invaders, The","1901","Tracy",2,22,24.3469762889597,-8.08432521261798
36200093,"Jesters, The","1903","Rita",2,32,-51.2535268060475,-7.97436034645898
-702838863,"Joan of the Hills","1909","Clegg",2,28,-56.3688448585983,0.830901312184054
-1526581491,"Anne of Green Gables","1908","Montgomery",2,32,-61.9992538962434,12.3804351367905
20116,"Mrs Wiggs of the Cabbage Patch","1901","Rice",2,27,-10.5129447307862,40.0529223448511
1179045089,"Liz","1903","Muddock",2,35,35.4919087359265,-2.16129826392266
-324672961,"Lonely Church, The","1904","Hume",2,37,34.1818031127463,6.24182300305948
1311921897,"Thunder of the Hoofs, The","1909","Lang",2,25,-34.0015732903569,0.409966674074599
-614353798,"Princess Kate","1903","Tracy",2,46,45.3467745128548,-10.2389268923002
-592865262,"Hush!","1888","Yorke",2,54,-31.86729536778,35.4627788140471
-474340428,"Margaret","1902","Meade",2,31,60.085340463896,-3.73098169010336
20399,"Spoilers, The","","Beach",2,42,-10.4747907933454,3.10851322362585
20339,"Second String, The","","Gould",2,42,22.0769129555365,-42.5373827529771
-1315777962,"Made in His Image","1906","Thorne",2,21,-7.647902569345,-33.4901288653763
913457968,"Sandy","1905","Rice",2,42,14.1084510038604,-4.81716791839889
400801028,"Viking Strain, The","1902","Hales",2,23,41.3556982800218,-17.0432051492562
-498247323,"Spy Company, The","1903","Gunter",2,50,24.0591101701652,-14.1054494082704
318985946,"Her Faithful Knight","1908","Cooke",2,28,-42.9944726120222,19.3223147090392
1508647254,"Household of Peter, The","1905","Carey",2,24,7.16889166033778,37.0559014958904
-1821820400,"Court of Honour, The","1901","Le Queux",2,30,27.6936981610091,-32.9724137923806
